clade	inclusive_count	exclusive_count
auto.lineage4.8.25.1.1	11	11
auto.lineage4.8.25.2	18	5
auto.lineage4.8.25.2.1	13	13
auto.lineage4.8.26	124	3
auto.lineage4.8.26.1	68	14
auto.lineage4.8.26.1.1	24	9
auto.lineage4.8.26.1.1.1	15	15
auto.lineage4.8.26.1.2	17	17
auto.lineage4.8.26.1.3	13	13
auto.lineage4.8.26.2	53	26
auto.lineage4.8.26.2.1	15	4
auto.lineage4.8.26.2.1.1	11	11
auto.lineage4.8.26.2.2	12	12
auto.lineage4.8.27	76	10
auto.lineage4.8.27.1	36	12
auto.lineage4.8.27.1.1	11	11
auto.lineage4.8.27.1.2	13	13
auto.lineage4.8.27.2	15	15
auto.lineage4.8.27.3	15	15
auto.lineage4.8.28	44	9
auto.lineage4.8.28.1	35	24
auto.lineage4.8.28.1.1	11	11
auto.lineage4.8.29	52	29
auto.lineage4.8.29.1	23	23
auto.lineage4.8.30	74	40
auto.lineage4.8.30.1	34	12
auto.lineage4.8.30.1.1	22	10
auto.lineage4.8.30.1.1.1	12	12
auto.lineage4.8.31	61	19
auto.lineage4.8.31.1	42	23
auto.lineage4.8.31.1.1	19	7
auto.lineage4.8.31.1.1.1	12	12
auto.lineage4.8.32	45	26
auto.lineage4.8.32.1	19	19
auto.lineage4.8.33	75	31
auto.lineage4.8.33.1	30	17
auto.lineage4.8.33.1.1	13	13
auto.lineage4.8.33.2	14	14
auto.lineage4.8.34	33	22
auto.lineage4.8.34.1	11	11
auto.lineage4.8.35	48	30
auto.lineage4.8.35.1	18	5
auto.lineage4.8.35.1.1	13	13
auto.lineage4.8.36	56	15
auto.lineage4.8.36.1	30	19
auto.lineage4.8.36.1.1	11	11
auto.lineage4.8.36.2	11	11
auto.lineage4.8.37	28	16
auto.lineage4.8.37.1	12	12
auto.lineage4.8.38	31	4
auto.lineage4.8.38.1	27	16
auto.lineage4.8.38.1.1	11	11
auto.lineage4.8.39	28	12
auto.lineage4.8.39.1	16	3
auto.lineage4.8.39.1.1	13	13
auto.lineage4.8.4	1425	74
auto.lineage4.8.4.1	590	80
auto.lineage4.8.4.1.1	290	30
auto.lineage4.8.4.1.1.1	87	47
auto.lineage4.8.4.1.1.1.1	40	40
auto.lineage4.8.4.1.1.2	92	64
auto.lineage4.8.4.1.1.2.1	28	28
auto.lineage4.8.4.1.1.3	51	38
auto.lineage4.8.4.1.1.3.1	13	13
auto.lineage4.8.4.1.1.4	30	30
auto.lineage4.8.4.1.2	91	11
auto.lineage4.8.4.1.2.1	40	21
auto.lineage4.8.4.1.2.1.1	19	19
auto.lineage4.8.4.1.2.2	13	13
auto.lineage4.8.4.1.2.3	27	15
auto.lineage4.8.4.1.2.3.1	12	12
auto.lineage4.8.4.1.3	39	7
auto.lineage4.8.4.1.3.1	32	32
auto.lineage4.8.4.1.4	30	12
auto.lineage4.8.4.1.4.1	18	18
auto.lineage4.8.4.1.5	20	20
auto.lineage4.8.4.1.6	15	15
auto.lineage4.8.4.1.7	12	12
auto.lineage4.8.4.1.8	13	13
auto.lineage4.8.4.10	13	13
auto.lineage4.8.4.11	19	8
auto.lineage4.8.4.11.1	11	11
auto.lineage4.8.4.12	16	4
auto.lineage4.8.4.12.1	12	12
auto.lineage4.8.4.13	15	4
auto.lineage4.8.4.13.1	11	11
auto.lineage4.8.4.14	13	13
auto.lineage4.8.4.15	12	12
auto.lineage4.8.4.16	14	14
auto.lineage4.8.4.17	11	11
auto.lineage4.8.4.18	13	13
auto.lineage4.8.4.2	115	16
auto.lineage4.8.4.2.1	56	11
auto.lineage4.8.4.2.1.1	33	33
auto.lineage4.8.4.2.1.2	12	12
auto.lineage4.8.4.2.2	19	5
auto.lineage4.8.4.2.2.1	14	14
